idno,sauthor,stitle,date,sgenre,form
tc0001,AlainR,EpreuveReciproque,1711,Comedie,pros
tc0002,AllainvalA,EcoleBourgois,1728,Comedie,pros
tc0003,AllainvalA,Hiver,1733,Comedie,vers
tc0004,AndrieuxF,Anaximandre,1784,Tragedie,vers
tc0005,Anonyme,ActriceNouvelle,1722,Tragedie,vers
tc0006,Anonyme,BonnesGens,1772,Comedie,vers
tc0007,Anonyme,ClubDames,1784,Comedie,pros
tc0008,Anonyme,DialogueVoltaire,1778,Comedie,mixt
tc0009,Anonyme,MatineeComedien,1785,Proverbe,pros
tc0010,Anonyme,PortierParnasse,1770,Comedie,pros
tc0011,Anonyme,PrixMoment,1772,Comedie,mixt
tc0012,Anonyme,VoilaDiable,1772,Comedie,mixt
tc0013,ArchambaultLF,Janot,1779,Proverbe,pros
tc0014,ArchambaultLF,JocrisseChange,1799,Tragedie,pros
tc0015,Barante-Dufresny,FeesContes,1694,Comedie,mixt
tc0016,Barante-Dufresny,PasquinMarforio,1697,Comedie,mixt
tc0017,Baptiste-DuMoutier,MascaradeFoire,1668,Autre,vers
tc0018,Barre-Radet,CandideMarie,1788,Autre,mixt
tc0019,BaranteCl,ArlequinMisanthrope,1697,Comedie,mixt
tc0020,BarbierMA,Faucon,1719,Comedie,vers
